Year,Team,matches,wins,draws,losses,goals_for,goals_against,goal_balance,points,points_per_match
2006.0,IR Iran,1,0,0,1,0.0,2.0,-2.0,0,0.0
2006.0,"rn"">Trinidad and Tobago",3,0,1,2,0.0,4.0,-4.0,1,0.3333333333333333
2010.0,Netherlands,7,6,0,1,12.0,6.0,6.0,18,2.5714285714285716
2010.0,Spain,7,6,0,1,8.0,2.0,6.0,18,2.5714285714285716
2010.0,Germany,7,5,0,2,16.0,5.0,11.0,15,2.142857142857143
2010.0,Argentina,5,4,0,1,10.0,6.0,4.0,12,2.4
2010.0,Uruguay,7,3,2,2,11.0,8.0,3.0,11,1.5714285714285714
2010.0,Brazil,5,3,1,1,9.0,4.0,5.0,10,2.0
2010.0,Ghana,5,2,2,1,5.0,4.0,1.0,8,1.6
2010.0,Japan,4,2,1,1,4.0,2.0,2.0,7,1.75
2010.0,Chile,4,2,0,2,3.0,5.0,-2.0,6,1.5
2010.0,Portugal,4,1,2,1,7.0,1.0,6.0,5,1.25
2010.0,Korea Republic,4,1,1,2,6.0,8.0,-2.0,4,1.0
2010.0,Slovakia,4,1,1,2,5.0,7.0,-2.0,4,1.0
2010.0,USA,4,1,2,1,5.0,5.0,0.0,5,1.25
2010.0,C�te d'Ivoire,3,1,1,1,4.0,3.0,1.0,4,1.3333333333333333
2010.0,Mexico,4,1,1,2,4.0,5.0,-1.0,4,1.0
2010.0,Australia,3,1,1,1,3.0,6.0,-3.0,4,1.3333333333333333
2010.0,Denmark,3,1,0,2,3.0,6.0,-3.0,3,1.0
2010.0,England,4,1,2,1,3.0,5.0,-2.0,5,1.25
2010.0,Paraguay,5,1,3,1,3.0,2.0,1.0,6,1.2
2010.0,Slovenia,3,1,1,1,3.0,3.0,0.0,4,1.3333333333333333
2010.0,South Africa,3,1,1,1,3.0,5.0,-2.0,4,1.3333333333333333
2010.0,Greece,3,1,0,2,2.0,5.0,-3.0,3,1.0
2010.0,Serbia,3,1,0,2,2.0,3.0,-1.0,3,1.0
2010.0,Switzerland,3,1,1,1,1.0,1.0,0.0,4,1.3333333333333333
2010.0,Italy,3,0,2,1,4.0,5.0,-1.0,2,0.6666666666666666
2010.0,Nigeria,3,0,1,2,3.0,5.0,-2.0,1,0.3333333333333333
2010.0,Cameroon,3,0,0,3,2.0,5.0,-3.0,0,0.0
2010.0,New Zealand,3,0,3,0,2.0,2.0,0.0,3,1.0
2010.0,France,3,0,1,2,1.0,4.0,-3.0,1,0.3333333333333333
2010.0,Korea DPR,3,0,0,3,1.0,12.0,-11.0,0,0.0
2010.0,Algeria,3,0,1,2,0.0,2.0,-2.0,1,0.3333333333333333
2010.0,Honduras,3,0,1,2,0.0,3.0,-3.0,1,0.3333333333333333
2014.0,Germany,11,10,1,0,29.0,6.0,23.0,31,2.8181818181818183
2014.0,Netherlands,11,7,4,0,20.0,5.0,15.0,25,2.272727272727273
2014.0,Argentina,11,7,2,2,10.0,5.0,5.0,23,2.090909090909091
2014.0,Colombia,7,5,0,2,15.0,6.0,9.0,15,2.142857142857143
2014.0,Belgium,7,5,0,2,8.0,5.0,3.0,15,2.142857142857143
2014.0,Brazil,11,4,3,4,15.0,26.0,-11.0,15,1.3636363636363635
2014.0,France,7,4,1,2,12.0,4.0,8.0,13,1.8571428571428572
2014.0,Chile,5,2,2,1,7.0,5.0,2.0,8,1.6
2014.0,Switzerland,5,2,0,3,7.0,8.0,-1.0,6,1.2
2014.0,Costa Rica,7,2,5,0,6.0,3.0,3.0,11,1.5714285714285714
2014.0,Mexico,5,2,1,2,6.0,5.0,1.0,7,1.4
2014.0,Uruguay,5,2,0,3,4.0,8.0,-4.0,6,1.2
2014.0,Algeria,5,1,1,3,8.0,9.0,-1.0,4,0.8
2014.0,Croatia,3,1,0,2,6.0,6.0,0.0,3,1.0
2014.0,USA,5,1,1,3,6.0,8.0,-2.0,4,0.8
2014.0,C�te d'Ivoire,3,1,0,2,4.0,5.0,-1.0,3,1.0
2014.0,Greece,5,1,3,1,4.0,6.0,-2.0,6,1.2
2014.0,Portugal,3,1,1,1,4.0,7.0,-3.0,4,1.3333333333333333
2014.0,Spain,3,1,0,2,4.0,7.0,-3.0,3,1.0
2014.0,"rn"">Bosnia and Herzegovina",3,1,0,2,4.0,4.0,0.0,3,1.0
2014.0,Ecuador,3,1,1,1,3.0,3.0,0.0,4,1.3333333333333333
2014.0,Nigeria,5,1,1,3,3.0,7.0,-4.0,4,0.8
2014.0,Italy,3,1,0,2,2.0,3.0,-1.0,3,1.0
2014.0,Ghana,3,0,1,2,4.0,6.0,-2.0,1,0.3333333333333333
2014.0,Australia,3,0,0,3,3.0,9.0,-6.0,0,0.0
2014.0,Korea Republic,3,0,1,2,3.0,6.0,-3.0,1,0.3333333333333333
2014.0,England,3,0,1,2,2.0,4.0,-2.0,1,0.3333333333333333
2014.0,Japan,3,0,1,2,2.0,6.0,-4.0,1,0.3333333333333333
2014.0,Russia,3,0,2,1,2.0,3.0,-1.0,2,0.6666666666666666
2014.0,Cameroon,3,0,0,3,1.0,9.0,-8.0,0,0.0
2014.0,Honduras,3,0,0,3,1.0,8.0,-7.0,0,0.0
2014.0,IR Iran,3,0,1,2,1.0,4.0,-3.0,1,0.3333333333333333
